"","Assembly","QC_number","Number_of_reads","Total_bases","Read_length_N50","Mean_read_quality","QC_name"
"134","barcode38","QC2",101500,500002078,5106,16.6,"Read quality after filtring"
"135","barcode39","QC2",88777,500003056,5798,16.9,"Read quality after filtring"
"136","barcode40","QC2",159449,500000403,3762,15.8,"Read quality after filtring"
"137","barcode41","QC2",155477,500000735,4255,16.3,"Read quality after filtring"
"138","barcode42","QC2",149496,500000085,4474,16.7,"Read quality after filtring"
"139","barcode43","QC2",270285,190388883,2101,13.3,"Read quality after filtring"
"140","barcode44","QC2",152788,500000403,4260,16.4,"Read quality after filtring"
"141","barcode45","QC2",103094,500000894,5174,16.2,"Read quality after filtring"
"142","barcode46","QC2",74424,500001873,6881,16.6,"Read quality after filtring"
"143","barcode47","QC2",81888,500002118,6350,17.2,"Read quality after filtring"
"144","barcode48","QC2",169015,500000565,4320,16,"Read quality after filtring"
"145","barcode49","QC2",90137,500003146,5561,16.8,"Read quality after filtring"
"146","barcode50","QC2",437516,431767589,1835,14,"Read quality after filtring"
"147","barcode51","QC2",99272,500002839,5033,16.4,"Read quality after filtring"
"148","barcode52","QC2",22422,6290874,767,10.9,"Read quality after filtring"
"149","barcode53","QC2",139180,500000463,4144,16.3,"Read quality after filtring"
"150","barcode54","QC2",426788,500000054,2183,15.3,"Read quality after filtring"
"151","barcode55","QC2",126249,500000169,3909,16.2,"Read quality after filtring"
"152","barcode56","QC2",115448,500000154,4436,16.7,"Read quality after filtring"
"153","barcode57","QC2",133259,500000181,4269,16.3,"Read quality after filtring"
"154","barcode58","QC2",127808,102519387,1822,13.5,"Read quality after filtring"
"155","barcode59","QC2",98304,500001180,5134,16.5,"Read quality after filtring"
"156","barcode60","QC2",463181,437297652,1877,13.6,"Read quality after filtring"
"157","barcode61","QC2",467021,320670903,1669,13.7,"Read quality after filtring"
"158","barcode62","QC2",35858,500008038,14101,18,"Read quality after filtring"
"159","barcode63","QC2",173915,500000945,3280,15.9,"Read quality after filtring"
"160","barcode64","QC2",108794,52735543,1119,12.5,"Read quality after filtring"
"161","barcode65","QC2",84481,98493077,2569,12.8,"Read quality after filtring"
"162","barcode66","QC2",165852,129367603,1415,13.9,"Read quality after filtring"
"163","barcode67","QC2",117578,97235160,2302,12.5,"Read quality after filtring"
"164","barcode68","QC2",79785,12560750,150,10.8,"Read quality after filtring"
"165","barcode69","QC2",38799,7382668,651,10.3,"Read quality after filtring"
"166","barcode70","QC2",269114,283178216,2980,13.4,"Read quality after filtring"
"167","barcode71","QC2",31880,4729377,180,10.7,"Read quality after filtring"
"168","barcode72","QC2",474941,339133482,1153,14.4,"Read quality after filtring"
"169","barcode73","QC2",265216,396776883,3436,13.8,"Read quality after filtring"
"170","barcode74","QC2",24893,5473663,662,10.8,"Read quality after filtring"
"171","barcode75","QC2",97050,500001993,5589,16,"Read quality after filtring"
"172","barcode76","QC2",303926,351202090,2249,14.4,"Read quality after filtring"
"173","barcode77","QC2",223170,500000867,2642,16,"Read quality after filtring"
"174","barcode78","QC2",25786,7421117,1011,10.1,"Read quality after filtring"
"175","barcode79","QC2",518813,405772114,1491,13.9,"Read quality after filtring"
"176","barcode80","QC2",110835,102693029,2014,13.4,"Read quality after filtring"
"177","barcode81","QC2",11947,2280417,952,10,"Read quality after filtring"
"178","barcode82","QC2",137452,111339828,1894,12.6,"Read quality after filtring"
"179","barcode83","QC2",133327,145384614,3432,13.1,"Read quality after filtring"
"180","barcode84","QC2",161510,175846469,2515,13.5,"Read quality after filtring"
"181","barcode85","QC2",330972,246940008,1846,13.4,"Read quality after filtring"
"182","barcode86","QC2",218950,211379095,2134,13.5,"Read quality after filtring"
"183","barcode87","QC2",216239,500000088,3185,16.2,"Read quality after filtring"
"184","barcode88","QC2",431866,407965394,1725,14.3,"Read quality after filtring"
"185","barcode89","QC2",278919,313243778,2572,13.6,"Read quality after filtring"
"186","barcode90","QC2",224050,261778482,2335,13.8,"Read quality after filtring"
"187","barcode91","QC2",383446,347519963,1865,14,"Read quality after filtring"
"188","barcode92","QC2",121794,500001100,4542,16.9,"Read quality after filtring"
"189","barcode93","QC2",240793,500000266,2922,15.7,"Read quality after filtring"
"190","barcode94","QC2",46332,16186632,1039,11.5,"Read quality after filtring"
"191","barcode95","QC2",238977,348237140,2651,14.7,"Read quality after filtring"
"192","barcode96","QC2",213896,437098599,3945,14.6,"Read quality after filtring"
